date,100_pct_voo,95_5,90_10,80_20,70_30,100_pct_momentum,100_pct_vti
2012-11-15,113999.7053,113028.0346,112054.6629,110103.5635,108147.8871,94449.1549,113967.6694
2012-11-16,114587.4173,113589.2657,112589.7742,110587.5255,108582.1640,94577.2331,114591.9710
2012-11-19,116919.9410,115885.1937,114849.3657,112775.2387,110699.0860,96231.3720,116957.6848
2012-11-20,117048.4426,115998.2847,114947.3001,112843.6239,110738.9430,96100.0832,117089.1380
2012-11-21,117305.6231,116249.0955,115191.8129,113075.7580,110958.9912,96243.9256,117384.8581
2012-11-23,118793.2808,117728.7669,116663.3900,114530.8321,112397.1589,97554.1029,118912.7350
2012-11-26,118646.3661,117599.1537,116550.7900,114451.3919,112349.7208,97698.3692,118764.9145
2012-11-27,118076.9874,117040.4815,116002.7285,113924.2603,111843.1236,97323.9109,118140.6050
2012-11-28,118958.5732,117855.1792,116751.5779,114544.5435,112339.0304,97066.8504,119077.0811
2012-11-29,119491.2055,118384.8920,117278.3324,115065.2686,112853.5817,97534.7518,119767.0579
2012-11-30,119381.0194,118255.6575,117130.4248,114881.1401,112634.7304,97114.1295,119734.1808
2012-12-03,118958.5732,117865.8713,116772.7525,114586.0554,112400.0453,97241.4955,119208.4868
